20ca049,sderosa,9 days ago,Fix: StandardDeviation and Variance to reuse coding rather repeating code
1220220,sderosa,9 days ago,Fix: Added Checklist and Changelog
4a8c0ab,sderosa,9 days ago,Fix: Added Checklist and Changelog
5894d2a,sderosa,9 days ago,Feature: Added methods Skewness and Correlation
84c3f0a,sderosa,9 days ago,Merge remote-tracking branch 'origin/master'
7c47879,sderosa,9 days ago,Fix: Tested and debugged to get Class/function working
5ab3973,sderosa,9 days ago,Feature: Added Data Zscore and Correlation CSV files
f7a9bed,sderosa,9 days ago,Feature: Added Zscore and method
87d6865,sderosa,9 days ago,Feature: Added SampleCorrelation and method
2ec704b,sderosa,9 days ago,Feature: Added Skewness and method
da63f41,Kimberly McDaniel,9 days ago,Feature: added generate_numbre(x,y,seedValue) and generate_random_numbers(x,y,seedValue,listSize) methods
aa68680,Kimberly McDaniel,9 days ago,Task: Stubbed the random.py file with the future methods we'll use and the return values
19c33da,Kimberly McDaniel,9 days ago,Task: Stubbed the random.py file with the future methods we'll use
d6521a8,kmm438,9 days ago,Merge pull request #13 from cshannon-mdsol/statistics-mean-absolute-deviation
f57ba82,Kimberly McDaniel,9 days ago,Fix: Fixed removed hard-coded values for tests.
d3591f0,Kimberly McDaniel,9 days ago,Fix: Fixed test for mean deviation to assertAlmostEqual instead of assertEqual because it was failing some tests.
d86854d,Chris Shannon,9 days ago,Merge pull request #12 from cshannon-mdsol/chris'
02e1228,Chris Shannon,9 days ago,Merge branch 'master' of https://github.com/cshannon-mdsol/IS601_mini_project_2 into chris'
20d93b6,Chris Shannon,9 days ago,Random
82da904,Chris Shannon,9 days ago,Merge pull request #11 from cshannon-mdsol/chris'
633837b,Chris Shannon,9 days ago,Quartiles and Sample Correlation
bb41f0e,sderosa,10 days ago,Fix: Testing and debugging zscore method
8e00b84,sderosa,10 days ago,Merge branch 'master' into Stefan
dd1e3ad,sderosa,10 days ago,Feature: Added new file and method for MeanDeviation.py
9b25b61,sderosa,10 days ago,Feature: Added new file and method for Variance
5a64e0a,sderosa,10 days ago,Feature: Added methods (stddev, zscore, quartiles)
02bef80,sderosa,10 days ago,Feature: Added new file with method Quartiles
4f1676f,sderosa,10 days ago,Feature: Added new file with method zscore
e0f2ae9,sderosa,10 days ago,Feature: Added new file with method StandardDeviation
9d730d1,sderosa,10 days ago,Merge branch 'master' of https://github.com/cshannon-mdsol/IS601_mini_project_2 into Stefan
a51ec73,sderosa,10 days ago,Fix: Debugged files in order to remove errors and run successfully (SUCCESS)
694e951,sderosa,10 days ago,Merge branch 'master' of https://github.com/cshannon-mdsol/IS601_mini_project_2
33fce19,sderosa,10 days ago,Fix: Debugged files in order to remove errors and run successfully (SUCCESS)
e3c91fc,Chris Shannon,10 days ago,Merge pull request #10 from cshannon-mdsol/statistics-median-and-mode
9249b7c,Kimberly McDaniel,10 days ago,Feature: Added Statistics Mode logic and unit tests. All passing and work.
f1e1556,Kimberly McDaniel,10 days ago,Feature: Added Statistics Median logic and unit tests. All passing and work.
b73932b,Chris Shannon,10 days ago,Merge pull request #9 from cshannon-mdsol/satistics-mean-devitation
88cb920,Kimberly McDaniel,10 days ago,Task: Cleaned up unit tests for Mean Deviation, fixed logic in the Mean Deviation Statistics calculator.
42f7346,Kimberly McDaniel,10 days ago,Task: Cleaned up unit tests for Mean Deviation.
70ee6dc,Kimberly McDaniel,10 days ago,Feature: Added framework for Statistics - Mean calculation. Also added unit tests for Mean.
b647e15,Kimberly McDaniel,10 days ago,Feature: Added framework for Statistics - Mean Deviation calculation.
3a6e941,sderosa,11 days ago,Fix: Debugged files in order to remove errors and run successfully (SUCCESS)
9cdfce1,sderosa,11 days ago,Fix: Change some variables names according to Professors Videos
945e288,sderosa,11 days ago,Fix: Debuged and changed filename to link to Classes (case sensitive)
9d870d4,sderosa,11 days ago,Fix: Debuged and changed filename to link to Classes (case sensitive)
ef77fab,Chris Shannon,13 days ago,Merge pull request #8 from cshannon-mdsol/chris'
2d5734c,Chris Shannon,13 days ago,Update ToDoList.md
8316627,Chris Shannon,13 days ago,Merge pull request #7 from cshannon-mdsol/chris'
003f6bd,Chris Shannon,13 days ago,Web Links
07df69f,Chris Shannon,13 days ago,Merge pull request #6 from cshannon-mdsol/chris'
b9f161d,Chris Shannon,13 days ago,more changes
b8a5c3f,Chris Shannon,13 days ago,Merge pull request #5 from cshannon-mdsol/chris'
c3dd246,Chris Shannon,13 days ago,stuff
edbdba1,Chris Shannon,13 days ago,changes
19911cb,Chris Shannon,13 days ago,Merge pull request #4 from cshannon-mdsol/chris'
0653db6,Chris Shannon,13 days ago,Making recommended PyCharm changes
9dd0bca,Chris Shannon,13 days ago,stuff
b11d29e,Chris Shannon,13 days ago,Merge pull request #3 from cshannon-mdsol/chris'
9597c64,Chris Shannon,13 days ago,Making recommended PyCharm changes
fb283c0,Chris Shannon,13 days ago,Making recommended PyCharm changes
344d768,Chris Shannon,13 days ago,Making recommended PyCharm changes
7083315,Chris Shannon,2 weeks ago,Delete setup.py
2931067,Chris Shannon,2 weeks ago,Merge pull request #2 from cshannon-mdsol/chris'
50baa43,Chris Shannon,2 weeks ago,Making recommended PyCharm changes
640aa33,Chris Shannon,2 weeks ago,Making recommended PyCharm changes
b4c0adf,Chris Shannon,2 weeks ago,Making recommended PyCharm changes
e205b26,Chris Shannon,2 weeks ago,Making recommended PyCharm changes
8ebd0f5,Chris Shannon,2 weeks ago,Making recommended PyCharm changes
0b0ef1a,Chris Shannon,2 weeks ago,Making recommended PyCharm changes
a58d653,Chris Shannon,2 weeks ago,Merge pull request #1 from cshannon-mdsol/chris'
c855fdb,Chris Shannon,2 weeks ago,Making recommended PyCharm changes
b94a691,Chris Shannon,2 weeks ago,Making recommended PyCharm changes
59c9091,Chris Shannon,2 weeks ago,CamelCase
db69399,Chris Shannon,2 weeks ago,Update .gitignore
a5c9cd1,Chris Shannon,2 weeks ago,Update .gitignore
68c60af,Chris Shannon,2 weeks ago,Merge remote-tracking branch 'origin/master'
bbdb06f,Chris Shannon,2 weeks ago,more stuff
2b76d6d,Chris Shannon,2 weeks ago,Update .travis.yml
a60c26e,Chris Shannon,2 weeks ago, travis
62e0c76,Chris Shannon,2 weeks ago,Update test_Calculator.py
6afd297,Chris Shannon,2 weeks ago,Update test_CsvReader.py
dccaeab,Chris Shannon,2 weeks ago,Update requirements.txt
ab994e6,Chris Shannon,2 weeks ago,task
effa487,Chris Shannon,2 weeks ago,fix
c162cf8,Chris Shannon,2 weeks ago,Update .travis.yml
9e6c9fa,Chris Shannon,2 weeks ago,removed files
c3c7f03,Chris Shannon,2 weeks ago,Update README.md
575e9c4,Chris Shannon,2 weeks ago,Update .travis.yml
26ac332,Chris Shannon,2 weeks ago,Feature: Everything
017421f,Chris Shannon,4 weeks ago,Create .gitignore
b1c56b7,Chris Shannon,4 weeks ago,Initial commit
